item,title,genres,ratings
2115,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy,
2,Jumanji (1995),Adventure|Children|Fantasy,
1387,Jaws (1975),Action|Horror,
454,"Firm, The (1993)",Drama|Thriller,
1968,"Breakfast Club, The (1985)",Comedy|Drama,3
2396,Shakespeare in Love (1998),Comedy|Drama|Romance,
223,Clerks (1994),Comedy,
2324,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War,
2291,Edward Scissorhands (1990),Drama|Fantasy|Romance,
288,Natural Born Killers (1994),Action|Crime|Thriller,
4027,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime,
1517,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy,
1784,As Good as It Gets (1997),Comedy|Drama|Romance,
434,Cliffhanger (1993),Action|Adventure|Thriller,
68157,Inglourious Basterds (2009),Action|Drama|War,
1307,When Harry Met Sally... (1989),Comedy|Romance,
6365,"Matrix Reloaded, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX,
185,"Net, The (1995)",Action|Crime|Thriller,
2011,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi,
1393,Jerry Maguire (1996),Drama|Romance,
2502,Office Space (1999),Comedy|Crime,
48780,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller,
5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy,3
1259,Stand by Me (1986),Adventure|Drama,
1917,Armageddon (1998),Action|Romance|Sci-Fi|Thriller,
109487,Interstellar (2014),Sci-Fi|IMAX,5
8368,Harry Potter and the Prisoner of Azkaban (2004),Adventure|Fantasy|IMAX,
1080,Monty Python's Life of Brian (1979),Comedy,
2355,"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy,2
2916,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,
161,Crimson Tide (1995),Drama|Thriller|War,
21,Get Shorty (1995),Comedy|Crime|Thriller,
32587,Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller,
1610,"Hunt for Red October, The (1990)",Action|Adventure|Thriller,
1219,Psycho (1960),Crime|Horror,
339,While You Were Sleeping (1995),Comedy|Romance,
3949,Requiem for a Dream (2000),Drama,
5816,Harry Potter and the Chamber of Secrets (2002),Adventure|Fantasy,
551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,
2987,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,
1653,Gattaca (1997),Drama|Sci-Fi|Thriller,
2012,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western,
1584,Contact (1997),Drama|Sci-Fi,
19,Ace Ventura: When Nature Calls (1995),Comedy,
1225,Amadeus (1984),Drama,
5378,Star Wars: Episode II - Attack of the Clones (2002),Action|Adventure|Sci-Fi|IMAX,
2174,Beetlejuice (1988),Comedy|Fantasy,
141,"Birdcage, The (1996)",Comedy,
8636,Spider-Man 2 (2004),Action|Adventure|Sci-Fi|IMAX,3
99114,Django Unchained (2012),Action|Drama|Western,
95,Broken Arrow (1996),Action|Adventure|Thriller,
2791,Airplane! (1980),Comedy,
54286,"Bourne Ultimatum, The (2007)",Action|Crime|Thriller,
1220,"Blues Brothers, The (1980)",Action|Comedy|Musical,
49272,Casino Royale (2006),Action|Adventure|Thriller,
1101,Top Gun (1986),Action|Romance,
2797,Big (1988),Comedy|Drama|Fantasy|Romance,
6711,Lost in Translation (2003),Comedy|Drama|Romance,4
8360,Shrek 2 (2004),Adventure|Animation|Children|Comedy|Musical|Romance,5
904,Rear Window (1954),Mystery|Thriller,
1573,Face/Off (1997),Action|Crime|Drama|Thriller,
8665,"Bourne Supremacy, The (2004)",Action|Crime|Thriller,
25,Leaving Las Vegas (1995),Drama|Romance,
3948,Meet the Parents (2000),Comedy,
6333,X2: X-Men United (2003),Action|Adventure|Sci-Fi|Thriller,
91529,"Dark Knight Rises, The (2012)",Action|Adventure|Crime|IMAX,
508,Philadelphia (1993),Drama,
6016,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller,
3897,Almost Famous (2000),Drama,
48394,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Drama|Fantasy|Thriller,
17,Sense and Sensibility (1995),Drama|Romance,
1079,"Fish Called Wanda, A (1988)",Comedy|Crime,
8874,Shaun of the Dead (2004),Comedy|Horror,
2710,"Blair Witch Project, The (1999)",Drama|Horror|Thriller,
36,Dead Man Walking (1995),Crime|Drama,
2542,"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller,
1356,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller,
104,Happy Gilmore (1996),Comedy,
50872,Ratatouille (2007),Animation|Children|Drama,5
788,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi,
2617,"Mummy, The (1999)",Action|Adventure|Comedy|Fantasy|Horror|Thriller,
923,Citizen Kane (1941),Drama|Mystery,
63082,Slumdog Millionaire (2008),Crime|Drama|Romance,5
46578,Little Miss Sunshine (2006),Adventure|Comedy|Drama,
300,Quiz Show (1994),Drama,
2000,Lethal Weapon (1987),Action|Comedy|Crime|Drama,
2692,Run Lola Run (Lola rennt) (1998),Action|Crime,
74458,Shutter Island (2010),Drama|Mystery|Thriller,
40815,Harry Potter and the Goblet of Fire (2005),Adventure|Fantasy|Thriller|IMAX,
1485,Liar Liar (1997),Comedy,
51662,300 (2007),Action|Fantasy|War|IMAX,
3751,Chicken Run (2000),Animation|Children|Comedy,
1247,"Graduate, The (1967)",Comedy|Drama|Romance,
33493,Star Wars: Episode III - Revenge of the Sith (2005),Action|Adventure|Sci-Fi,
1625,"Game, The (1997)",Drama|Mystery|Thriller,
55820,No Country for Old Men (2007),Crime|Drama,
16,Casino (1995),Crime|Drama,
3623,Mission: Impossible II (2000),Action|Adventure|Thriller,
56367,Juno (2007),Comedy|Drama|Romance,
62,Mr. Holland's Opus (1995),Drama,
5218,Ice Age (2002),Adventure|Animation|Children|Comedy,
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western,
3408,Erin Brockovich (2000),Drama,
442,Demolition Man (1993),Action|Adventure|Sci-Fi,
6934,"Matrix Revolutions, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX,
474,In the Line of Fire (1993),Action|Thriller,
70286,District 9 (2009),Mystery|Sci-Fi|Thriller,
594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,
3977,Charlie's Angels (2000),Action|Comedy,
440,Dave (1993),Comedy|Romance,
410,Addams Family Values (1993),Children|Comedy|Fantasy,
1391,Mars Attacks! (1996),Action|Comedy|Sci-Fi,
2700,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy|Musical,
89745,"Avengers, The (2012)",Action|Adventure|Sci-Fi|IMAX,
1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,
7147,Big Fish (2003),Drama|Fantasy|Romance,
8644,"I, Robot (2004)",Action|Adventure|Sci-Fi|Thriller,
1676,Starship Troopers (1997),Action|Sci-Fi,
337,What's Eating Gilbert Grape (1993),Drama,
3052,Dogma (1999),Adventure|Comedy|Fantasy,
5995,"Pianist, The (2002)",Drama|War,
11,"American President, The (1995)",Comedy|Drama|Romance,
4034,Traffic (2000),Crime|Drama|Thriller,
3481,High Fidelity (2000),Comedy|Drama|Romance,
1252,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller,
1954,Rocky (1976),Drama,
908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller,
1090,Platoon (1986),Drama|War,
3527,Predator (1987),Action|Sci-Fi|Thriller,
1407,Scream (1996),Comedy|Horror|Mystery|Thriller,
1203,12 Angry Men (1957),Drama,
1288,This Is Spinal Tap (1984),Comedy,
3994,Unbreakable (2000),Drama|Sci-Fi,
1370,Die Hard 2 (1990),Action|Adventure|Thriller,
134130,The Martian (2015),Adventure|Drama|Sci-Fi,
368,Maverick (1994),Adventure|Comedy|Western,
69122,"Hangover, The (2009)",Comedy|Crime,
2268,"Few Good Men, A (1992)",Crime|Drama|Thriller,
6502,28 Days Later (2002),Action|Horror|Sci-Fi,
1230,Annie Hall (1977),Comedy|Romance,
112852,Guardians of the Galaxy (2014),Action|Adventure|Sci-Fi,4
68358,Star Trek (2009),Action|Adventure|Sci-Fi|IMAX,
45722,Pirates of the Caribbean: Dead Man's Chest (2006),Action|Adventure|Fantasy,
4979,"Royal Tenenbaums, The (2001)",Comedy|Drama,
7143,"Last Samurai, The (2003)",Action|Adventure|Drama|War,
106782,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama,
7254,The Butterfly Effect (2004),Drama|Sci-Fi|Thriller,
116797,The Imitation Game (2014),Drama|Thriller|War,
3753,"Patriot, The (2000)",Action|Drama|War,
6373,Bruce Almighty (2003),Comedy|Drama|Fantasy|Romance,
4246,Bridget Jones's Diary (2001),Comedy|Drama|Romance,
48774,Children of Men (2006),Action|Adventure|Drama|Sci-Fi|Thriller,
35836,"40-Year-Old Virgin, The (2005)",Comedy|Romance,
81845,"King's Speech, The (2010)",Drama,
73017,Sherlock Holmes (2009),Action|Crime|Mystery|Thriller,
78499,Toy Story 3 (2010),Adventure|Animation|Children|Comedy|Fantasy|IMAX,
5459,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),Action|Comedy|Sci-Fi,
51255,Hot Fuzz (2007),Action|Comedy|Crime|Mystery,
54001,Harry Potter and the Order of the Phoenix (2007),Adventure|Drama|Fantasy|IMAX,
30707,Million Dollar Baby (2004),Drama,
4308,Moulin Rouge (2001),Drama|Musical|Romance,
56174,I Am Legend (2007),Action|Horror|Sci-Fi|Thriller|IMAX,
69844,Harry Potter and the Half-Blood Prince (2009),Adventure|Fantasy|Mystery|Romance|IMAX,
6863,School of Rock (2003),Comedy|Musical,
81834,Harry Potter and the Deathly Hallows: Part 1 (2010),Action|Adventure|Fantasy|IMAX,
80463,"Social Network, The (2010)",Drama,
4370,A.I. Artificial Intelligence (2001),Adventure|Drama|Sci-Fi,
122904,Deadpool (2016),Action|Adventure|Comedy|Sci-Fi,
76093,How to Train Your Dragon (2010),Adventure|Animation|Children|Fantasy|IMAX,4
5502,Signs (2002),Horror|Sci-Fi|Thriller,
91500,The Hunger Games (2012),Action|Adventure|Drama|Sci-Fi|Thriller,
48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),Comedy,
71535,Zombieland (2009),Action|Comedy|Horror,
5669,Bowling for Columbine (2002),Documentary,
6942,Love Actually (2003),Comedy|Drama|Romance,
134853,Inside Out (2015),Adventure|Animation|Children|Comedy|Drama|Fantasy,4
81591,Black Swan (2010),Drama|Thriller,
122882,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller,
88125,Harry Potter and the Deathly Hallows: Part 2 (2011),Action|Adventure|Drama|Fantasy|Mystery|IMAX,
5010,Black Hawk Down (2001),Action|Drama|War,
64614,Gran Torino (2008),Crime|Drama,
6378,"Italian Job, The (2003)",Action|Crime,
4720,"Others, The (2001)",Drama|Horror|Mystery|Thriller,
109374,"Grand Budapest Hotel, The (2014)",Comedy|Drama,
54503,Superbad (2007),Comedy,
33679,Mr. & Mrs. Smith (2005),Action|Adventure|Comedy|Romance,5
112556,Gone Girl (2014),Drama|Thriller,5
5299,My Big Fat Greek Wedding (2002),Comedy|Romance,
92259,Intouchables (2011),Comedy|Drama,
5679,"Ring, The (2002)",Horror|Mystery|Thriller,
4014,Chocolat (2000),Drama|Romance,
122886,Star Wars: Episode VII - The Force Awakens (2015),Action|Adventure|Fantasy|Sci-Fi|IMAX,
3535,American Psycho (2000),Crime|Horror|Mystery|Thriller,
