item,title,genres,rating
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,3
7361,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi,2
1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi,1
1213,Goodfellas (1990),Crime|Drama,5
3793,X-Men (2000),Action|Adventure|Sci-Fi,2
2716,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi,2
733,"Rock, The (1996)",Action|Adventure|Thriller,2
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,2
2628,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi,2
4963,Ocean's Eleven (2001),Crime|Thriller,2
4995,"Beautiful Mind, A (2001)",Drama|Romance,2
1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi,2
34,Babe (1995),Children|Drama,2
2329,American History X (1998),Crime|Drama,2
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,2
736,Twister (1996),Action|Adventure|Romance|Thriller,2
316,Stargate (1994),Action|Adventure|Sci-Fi,2
33794,Batman Begins (2005),Action|Crime|IMAX,2
8961,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy,2
3147,"Green Mile, The (1999)",Crime|Drama,2
5445,Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller,2
5349,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller,2
2997,Being John Malkovich (1999),Comedy|Drama|Fantasy,2
1258,"Shining, The (1980)",Horror,2
1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller,2
586,Home Alone (1990),Children|Comedy,2
111,Taxi Driver (1976),Crime|Drama|Thriller,2
5418,"Bourne Identity, The (2002)",Action|Mystery|Thriller,2
924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,2
778,Trainspotting (1996),Comedy|Crime|Drama,2
587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,2
7438,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller,2
10,GoldenEye (1995),Action|Adventure|Thriller,2
539,Sleepless in Seattle (1993),Comedy|Drama|Romance,2
1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,2
5989,Catch Me If You Can (2002),Crime|Drama,2
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance,2
1732,"Big Lebowski, The (1998)",Comedy|Crime,2
1961,Rain Man (1988),Drama,2
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,2
1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,2
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,2
208,Waterworld (1995),Action|Adventure|Sci-Fi,2
60069,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi,2
4878,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller,2
2918,Ferris Bueller's Day Off (1986),Comedy,2
912,Casablanca (1942),Drama|Romance,2
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,2
357,Four Weddings and a Funeral (1994),Comedy|Romance,2
3114,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,2
1208,Apocalypse Now (1979),Action|Drama|War,2
39,Clueless (1995),Comedy|Romance,2
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy,2
44191,V for Vendetta (2006),Action|Sci-Fi|Thriller|IMAX,2
1222,Full Metal Jacket (1987),Drama|War,1
59315,Iron Man (2008),Action|Adventure|Sci-Fi,5
48516,"Departed, The (2006)",Crime|Drama|Thriller,5
1923,There's Something About Mary (1998),Comedy|Romance,1
68954,Up (2009),Adventure|Animation|Children|Drama,5
4011,Snatch (2000),Comedy|Crime|Thriller,3
4022,Cast Away (2000),Drama,3
1246,Dead Poets Society (1989),Drama,1
2683,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy,3
2683,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy,2
2706,American Pie (1999),Comedy|Romance,2
2706,American Pie (1999),Comedy|Romance,3
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,2
919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,4
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,2
6,Heat (1995),Action|Crime|Thriller,3
72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,4
2115,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy,3
1387,Jaws (1975),Action|Horror,3
454,"Firm, The (1993)",Drama|Thriller,3
1968,"Breakfast Club, The (1985)",Comedy|Drama,3
2396,Shakespeare in Love (1998),Comedy|Drama|Romance,3
223,Clerks (1994),Comedy,3
2324,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War,3
2291,Edward Scissorhands (1990),Drama|Fantasy|Romance,3
288,Natural Born Killers (1994),Action|Crime|Thriller,4
4027,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime,2
1517,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy,4
1784,As Good as It Gets (1997),Comedy|Drama|Romance,5
434,Cliffhanger (1993),Action|Adventure|Thriller,3
68157,Inglourious Basterds (2009),Action|Drama|War,4
1307,When Harry Met Sally... (1989),Comedy|Romance,3
6365,"Matrix Reloaded, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX,2
185,"Net, The (1995)",Action|Crime|Thriller,2
2011,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi,4
1393,Jerry Maguire (1996),Drama|Romance,4
2502,Office Space (1999),Comedy|Crime,4
48780,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller,4
5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy,3
1259,Stand by Me (1986),Adventure|Drama,4
1917,Armageddon (1998),Action|Romance|Sci-Fi|Thriller,2
109487,Interstellar (2014),Sci-Fi|IMAX,4
8368,Harry Potter and the Prisoner of Azkaban (2004),Adventure|Fantasy|IMAX,3
1080,Monty Python's Life of Brian (1979),Comedy,3
2355,"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy,2
2916,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,2
161,Crimson Tide (1995),Drama|Thriller|War,3
21,Get Shorty (1995),Comedy|Crime|Thriller,4
32587,Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller,4
1610,"Hunt for Red October, The (1990)",Action|Adventure|Thriller,3
1219,Psycho (1960),Crime|Horror,3
339,While You Were Sleeping (1995),Comedy|Romance,4
3949,Requiem for a Dream (2000),Drama,4
5816,Harry Potter and the Chamber of Secrets (2002),Adventure|Fantasy,4
551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,3
2987,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,2
1653,Gattaca (1997),Drama|Sci-Fi|Thriller,3
2012,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western,2
1584,Contact (1997),Drama|Sci-Fi,1
19,Ace Ventura: When Nature Calls (1995),Comedy,1
1225,Amadeus (1984),Drama,4
5378,Star Wars: Episode II - Attack of the Clones (2002),Action|Adventure|Sci-Fi|IMAX,3
2174,Beetlejuice (1988),Comedy|Fantasy,4
141,"Birdcage, The (1996)",Comedy,5
8636,Spider-Man 2 (2004),Action|Adventure|Sci-Fi|IMAX,2
99114,Django Unchained (2012),Action|Drama|Western,3
95,Broken Arrow (1996),Action|Adventure|Thriller,4
2791,Airplane! (1980),Comedy,3
54286,"Bourne Ultimatum, The (2007)",Action|Crime|Thriller,5
1220,"Blues Brothers, The (1980)",Action|Comedy|Musical,5
527,Schindler's List (1993),Drama|War,1
49272,Casino Royale (2006),Action|Adventure|Thriller,2
1307,When Harry Met Sally... (1989),Comedy|Romance,2
1101,Top Gun (1986),Action|Romance,2
2797,Big (1988),Comedy|Drama|Fantasy|Romance,2
6711,Lost in Translation (2003),Comedy|Drama|Romance,3
8360,Shrek 2 (2004),Adventure|Animation|Children|Comedy|Musical|Romance,4
